headers;"Код заказа";Функция;"Пневматическое присоединение";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";price;stock
EA-AKH12-00;"Обратный клапан с цанговыми фитингами";"Шланг диаметром 12 мм";"-0.1 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"0 … +60";Технополимер;781.24;"44 шт"
EA-AKH08-00;"Обратный клапан с цанговыми фитингами";"Шланг диаметром 8 мм";"-0.1 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"0 … +60";Технополимер;446.61;"327 шт"
EA-AKH10-00;"Обратный клапан с цанговыми фитингами";"Шланг диаметром 10 мм";"-0.1 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"0 … +60";Технополимер;557.93;"106 шт"
EA-AKH04-00;"Обратный клапан с цанговыми фитингами";"Шланг диаметром 4 мм";"-0.1 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"0 … +60";Технополимер;335.28;"108 шт"
headers;"Код заказа";Функция;"Пневматическое присоединение";"Пневматическое присоединение (канал управления)";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";price;stock
EA-25;"Обратный клапан";G1;-;"0.05 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;2115.23;"90 шт"
EA-20;"Обратный клапан";G3/4;-;"0.05 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;2115.23;"57 шт"
EA-15;"Обратный клапан";G1/2;-;"0.05 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;1275.74;"153 шт"
EA-10;"Обратный клапан";G3/8;-;"0.05 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;1275.74;"85 шт"
EA-08;"Обратный клапан";G1/4;-;"0.05 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;704.86;"98 шт"
QPC-08;"Обратный клапан управляемый";G1/4;G1/8;"0.1 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"-20 … +70";"Латунь никелированная";2494.52;"80 шт"
QPC-06;"Обратный клапан управляемый";G1/8;G1/8;"0.1 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"-20 … +70";"Латунь никелированная";2218.79;"82 шт"
QPC-15;"Обратный клапан управляемый";G1/2;G1/8;"0.1 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"-20 … +70";Алюминий;4504.89;"119 шт"
ECVPF03-03G;"Обратный клапан резьбовой";"Наружная резьба G3/8";"Внутренняя резьба G3/8";"0.05 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Латунь;1962.48;"165 шт"
QPC-10;"Обратный клапан управляемый";G3/8;G1/8;"0.1 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"-20 … +70";Алюминий;3809.74;"34 шт"
EA-06;"Обратный клапан";G1/8;-;"0.05 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;704.86;"88 шт"
headers;"Код заказа";Функция;"Пневматическое присоединение";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";price;stock
EA-AKH06-00;"Обратный клапан с цанговыми фитингами";"Шланг диаметром 6 мм";"-0.1 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"0 … +60";Технополимер;335.28;"0 шт"
EA-AKH16-00;"Обратный клапан с цанговыми фитингами";"Шланг диаметром 16 мм";"-0.1 … 1.0";"Фильтрованный сжатый воздух (40 мкм)";"0 … +60";Технополимер;2230.44;"0 шт"
headers;"Код заказа";Функция;"Пневматическое присоединение";"Пневматическое присоединение (канал управления)";"Рабочее давление, МПа";"Рабочая среда";"Рабочая температура, °С";"Материал корпуса";price;stock
EA-50;"Обратный клапан";G2;-;"0.05 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;10335.37;"0 шт"
EA-40;"Обратный клапан";"G1 1/2";-;"0.05 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;7047.31;"0 шт"
EA-32;"Обратный клапан";"G1 1/4";-;"0.05 … 0.8";"Фильтрованный сжатый воздух (40 мкм)";"-5 … +60";Алюминий;7047.31;"0 шт"
