headers;"Код заказа";"Пневматическое присоединение";"Тип резьбы";"Рабочая среда";"Стандартный номинальный расход, л/мин";"Рабочее давление, МПа";"Рабочая температура, °С";price;stock
YHS-08;G1/4;Внутренняя-наружная;"Фильтрованный сжатый воздух (40 мкм)";"1 650";0…1.0;"-5 ... +60";615.54;"124 шт"
YHS-10MF;G3/8;Наружная-внутренняя;"Фильтрованный сжатый воздух (40 мкм)";"2 200";0…1.0;"-5 ... +60";851.14;"2 шт"
YHS-20;G3/4;Внутренняя-наружная;"Фильтрованный сжатый воздух (40 мкм)";"7 500";0…1.0;"-5 ... +60";1820.08;"64 шт"
YHS-10;G3/8;Внутренняя-наружная;"Фильтрованный сжатый воздух (40 мкм)";"2 200";0…1.0;"-5 ... +60";851.14;"104 шт"
YHS-06;G1/8;Внутренняя-наружная;"Фильтрованный сжатый воздух (40 мкм)";750;0…1.0;"-5 ... +60";523.63;"6 шт"
YHS-15;G1/2;Внутренняя-наружная;"Фильтрованный сжатый воздух (40 мкм)";"3 400";0…1.0;"-5 ... +60";1020.07;"53 шт"
YHS-15FF;G1/2;Внутренняя-внутренняя;"Фильтрованный сжатый воздух (40 мкм)";"3 400";0…1.0;"-5 ... +60";1020.07;"88 шт"
YHS-25MF;G1;Наружная-внутренняя;"Фильтрованный сжатый воздух (40 мкм)";"10 000";0…1.0;"-5 ... +60";3128.83;"0 шт"
YHS-20MF;G3/4;Наружная-внутренняя;"Фильтрованный сжатый воздух (40 мкм)";"7 500";0…1.0;"-5 ... +60";1820.08;"0 шт"
YHS-15MF;G1/2;Наружная-внутренняя;"Фильтрованный сжатый воздух (40 мкм)";"3 400";0…1.0;"-5 ... +60";1020.07;"0 шт"
YHS-08MF;G1/4;Наружная-внутренняя;"Фильтрованный сжатый воздух (40 мкм)";"1 650";0…1.0;"-5 ... +60";615.54;"0 шт"
YHS-06MF;G1/8;Наружная-внутренняя;"Фильтрованный сжатый воздух (40 мкм)";750;0…1.0;"-5 ... +60";523.63;"0 шт"
YHS-25;G1;Внутренняя-наружная;"Фильтрованный сжатый воздух (40 мкм)";"10 000";0…1.0;"-5 ... +60";3128.83;"0 шт"
YHS-25MM;G1;Наружная-наружная;"Фильтрованный сжатый воздух (40 мкм)";"10 000";0…1.0;"-5 ... +60";3268.64;"0 шт"
YHS-20MM;G3/4;Наружная-наружная;"Фильтрованный сжатый воздух (40 мкм)";"7 500";0…1.0;"-5 ... +60";1900.34;"0 шт"
YHS-15MM;G1/2;Наружная-наружная;"Фильтрованный сжатый воздух (40 мкм)";"3 400";0…1.0;"-5 ... +60";1064.73;"0 шт"
YHS-10MM;G3/8;Наружная-наружная;"Фильтрованный сжатый воздух (40 мкм)";"2 200";0…1.0;"-5 ... +60";889.33;"0 шт"
YHS-08MM;G1/4;Наружная-наружная;"Фильтрованный сжатый воздух (40 мкм)";"1 650";0…1.0;"-5 ... +60";609.71;"0 шт"
YHS-06MM;G1/8;Наружная-наружная;"Фильтрованный сжатый воздух (40 мкм)";750;0…1.0;"-5 ... +60";546.93;"0 шт"
YHS-08FF;G1/4;Внутренняя-внутренняя;"Фильтрованный сжатый воздух (40 мкм)";"1 650";0…1.0;"-5 ... +60";615.54;"0 шт"
YHS-20FF;G3/4;Внутренняя-внутренняя;"Фильтрованный сжатый воздух (40 мкм)";"7 500";0…1.0;"-5 ... +60";1820.08;"0 шт"
YHS-06FF;G1/8;Внутренняя-внутренняя;"Фильтрованный сжатый воздух (40 мкм)";750;0…1.0;"-5 ... +60";523.63;"0 шт"
YHS-10FF;G3/8;Внутренняя-внутренняя;"Фильтрованный сжатый воздух (40 мкм)";"2 200";0…1.0;"-5 ... +60";851.14;"0 шт"
